<<<<<<< HEAD
car,cylinders,displacement,horsepower,weight,acceleration,model,origin,mpg
fiat 128,4,90,75,2108,15.5,74,2,24
amc hornet,6,199,97,2774,15.5,70,1,18
toyota corolla liftback,4,97,75,2265,18.2,77,3,26
ford mustang gl,4,140,86,2790,15.6,82,1,27
buick century special,6,231,105,3380,15.8,78,1,20.6
chevrolet chevelle malibu,8,307,130,3504,12,70,1,18
amc gremlin,6,199,90,2648,15,70,1,21
buick estate wagon (sw),8,455,225,3086,10,70,1,14
saab 99gle,4,121,115,2795,15.7,78,2,21.6
toyota corona,4,134,95,2560,14.2,78,3,27.5
mazda rx2 coupe,3,70,97,2330,13.5,72,3,19
vw rabbit custom,4,89,71,1925,14,79,2,31.9
oldsmobile delta 88 royale,8,350,160,4456,13.5,72,1,12
amc gremlin,6,232,100,2789,15,73,1,18
mercury monarch ghia,8,302,139,3570,12.8,78,1,20.2
plymouth duster,6,198,95,3102,16.5,74,1,20
datsun 200-sx,4,119,97,2405,14.9,78,3,23.9
ford maverick,6,200,85,2587,16,70,1,21
toyota starlet,4,79,58,1755,16.9,81,3,39.1
mercury cougar brougham,8,302,130,4295,14.9,77,1,15
chrysler lebaron medallion,4,156,92,2585,14.5,82,1,26
volkswagen type 3,4,97,54,2254,23.5,72,2,23
chevrolet chevette,4,98,63,2051,17,77,1,30.5
plymouth satellite (sw),8,383,175,4166,10.5,70,1,NA
mazda glc custom l,4,91,68,2025,18.2,82,3,37
oldsmobile cutlass ls,8,350,105,3725,19,81,1,26.6
citroen ds-21 pallas,4,133,115,3090,17.5,70,2,NA
dodge st.0 regis,8,318,135,3830,15.2,79,1,18.2
pontiac phoenix lj,6,231,105,3535,19.2,78,1,19.2
plymouth fury,6,225,95,3785,19,75,1,18
ford mustang boss 302,8,302,140,3353,8,70,1,NA
volkswagen rabbit,4,97,71,1825,12.2,76,2,29.5
amc matador,6,258,110,3632,18,74,1,16
amc rebel sst,8,304,150,3433,12,70,1,16
plymouth horizon 4,4,105,63,2215,14.9,81,1,34.7
plymouth valiant,6,225,100,3233,15.4,76,1,22
vw rabbit c (diesel),4,90,48,2085,21.7,80,2,44.3
ford pinto,4,122,85,2310,18.5,73,1,19
honda civic 1500 gl,4,91,67,1850,13.8,80,3,44.6
fiat 124b,4,88,76,2065,14.5,71,2,30
ford f108,8,302,130,3870,15,76,1,13
peugeot 504 (sw),4,120,87,2979,19.5,72,2,21
cadillac eldorado,8,350,125,3900,17.4,79,1,23
ford country,8,400,167,4906,12.5,73,1,12
saab 99le,4,121,115,2671,13.5,75,2,25
fiat 128,4,68,49,1867,19.5,73,2,29
plymouth satellite custom (sw),8,318,150,4077,14,72,1,14
toyota mark ii,6,156,108,2930,15.5,76,3,19
honda civic cvcc,4,91,60,1800,16.4,78,3,36.1
toyota corolla,4,97,75,2171,16,75,3,29
mazda glc custom,4,91,68,1970,17.6,82,3,31
amc hornet,6,232,90,3085,17.6,76,1,22.5
chevrolet impala,8,400,150,4997,14,73,1,11
datsun b-210,4,85,70,1990,17,76,3,32
ford ltd,8,351,158,4363,13,73,1,13
amc concord d/l,6,258,120,3410,15.1,78,1,18.1
mercury marquis,8,429,208,4633,11,72,1,11
chevrolet cavalier wagon,4,112,88,2640,18.6,82,1,27
amc pacer d/l,6,258,95,3193,17.8,76,1,17.5
mercury marquis brougham,8,429,198,4952,11.5,73,1,12
peugeot 504,4,120,88,2957,17,75,2,23
ford mustang cobra,4,140,NA,2905,14.3,80,1,23.6
fiat 131,4,107,86,2464,15.5,76,2,28
dodge aspen se,6,225,100,3651,17.7,76,1,20
ford pinto,6,171,97,2984,14.5,75,1,18
volvo 264gl,6,163,125,3140,13.6,78,2,17
datsun 210,4,85,65,2020,19.2,79,3,31.8
ford mustang,6,250,88,3139,14.5,71,1,18
plymouth horizon miser,4,105,63,2125,14.7,82,1,38
chrysler cordoba,8,400,190,4325,12.2,77,1,15.5
mercedes-benz 240d,4,146,67,3250,21.8,80,2,30
,4,108,93,2391,15.5,74,3,26
volkswagen jetta,4,105,74,2190,14.2,81,2,33
ford torino (sw),8,351,153,4034,11,70,1,NA
mazda 626,4,120,75,2542,17.5,80,3,31.3
chrysler lebaron town @ country (sw),8,360,150,3940,13,79,1,18.5
pontiac phoenix,4,151,90,2556,13.2,79,1,33.5
toyota corona,4,113,95,2228,14,71,3,25
buick electra 225 custom,8,455,225,4951,11,73,1,12
ford pinto,4,140,83,2639,17,75,1,23
amc pacer,6,232,90,3211,17,75,1,19
toyota corona mark ii,4,113,95,2372,15,70,3,24
chevrolet chevelle malibu classic,8,305,140,4215,13,76,1,17.5
ford galaxie 500,8,429,198,4341,10,70,1,15
volvo diesel,6,145,76,3160,19.6,81,2,30.7
mercury monarch,6,250,72,3432,21,75,1,15
saab 900s,4,121,110,2800,15.4,81,2,NA
oldsmobile omega,8,350,180,3664,11,73,1,11
toyota corolla tercel,4,89,60,1968,18.8,80,3,38.1
ford gran torino (sw),8,302,140,4294,16,72,1,13
datsun pl510,4,97,88,2130,14.5,70,3,27
mercury capri 2000,4,122,86,2220,14,71,1,23
mazda glc deluxe,4,78,52,1985,19.4,78,3,32.8
toyota corona,4,76,52,1649,16.5,74,3,31
chevrolet nova custom,6,250,100,3278,18,73,1,16
mazda glc 4,4,91,68,1985,16,81,3,34.1
chevrolet nova,6,250,105,3459,16,75,1,18
toyota tercel,4,89,62,2050,17.3,81,3,37.7
amc hornet sportabout (sw),6,258,110,2962,13.5,71,1,18
dodge aries wagon (sw),4,156,92,2620,14.4,81,1,25.8
chevrolet vega (sw),4,140,72,2408,19,71,1,22
plymouth satellite,8,318,150,3436,11,70,1,18
audi 100 ls,4,107,90,2430,14.5,70,2,24
chevrolet malibu,6,200,95,3155,18.2,78,1,20.5
plymouth horizon,4,105,70,2200,13.2,79,1,34.2
ford escort 4w,4,98,65,2045,16.2,81,1,34.4
pontiac j2000 se hatchback,4,112,85,2575,16.2,82,1,31
ford maverick,6,250,88,3021,16.5,73,1,18
plymouth valiant,6,225,105,3121,16.5,73,1,18
ford pinto,4,98,NA,2046,19,71,1,25
plymouth satellite sebring,6,225,105,3613,16.5,74,1,18
toyota cressida,6,168,116,2900,12.6,81,3,25.4
vw pickup,4,97,52,2130,24.6,82,2,44
buick century luxus (sw),8,350,150,4699,14.5,74,1,13
plymouth custom suburb,8,360,170,4654,13,73,1,13
plymouth volare,6,225,100,3430,17.2,78,1,20.5
ford granada ghia,6,250,78,3574,21,76,1,18
buick regal sport coupe (turbo),6,231,165,3445,13.4,78,1,17.7
plymouth fury iii,8,318,150,4135,13.5,72,1,15
toyota celica gt,4,144,96,2665,13.9,82,3,32
peugeot 604sl,6,163,133,3410,15.8,78,2,16.2
,4,97,67,2065,17.8,81,3,32.3
plymouth reliant,4,135,84,2490,15.7,81,1,27.2
datsun b210,4,79,67,1950,19,74,3,31
amc matador,8,304,120,3962,13.9,76,1,15.5
plymouth reliant,4,135,84,2385,12.9,81,1,30
buick skylark,4,151,84,2635,16.4,81,1,26.6
dodge d200,8,318,210,4382,13.5,70,1,11
opel 1900,4,116,90,2123,14,71,2,28
toyota corolla 1600 (sw),4,97,88,2100,16.5,72,3,27
oldsmobile cutlass salon brougham,8,260,110,3365,15.5,78,1,19.9
fiat 124 tc,4,116,75,2246,14,74,2,26
dodge aspen,6,225,110,3620,18.7,78,1,18.6
chevrolet concours,6,250,110,3520,16.4,77,1,17.5
oldsmobile cutlass supreme,8,260,110,4060,19,77,1,17
chevrolet chevette,4,98,70,2120,15.5,80,1,32.1
chevrolet vega,4,140,72,2401,19.5,73,1,21
amc matador,6,232,100,3288,15.5,71,1,18
ford galaxie 500,8,351,153,4154,13.5,71,1,14
chevy c10,8,350,145,4055,12,76,1,13
buick skylark,6,231,105,3425,16.9,77,1,20.5
datsun 510 (sw),4,97,92,2288,17,72,3,28
bmw 320i,4,121,110,2600,12.8,77,2,21.5
bmw 2002,4,121,113,2234,12.5,70,2,26
volkswagen rabbit custom diesel,4,90,48,1985,21.5,78,2,43.1
peugeot 505s turbo diesel,4,141,80,3230,20.4,81,2,28.1
ford escort 2h,4,98,65,2380,20.7,81,1,29.9
datsun 610,4,108,94,2379,16.5,73,3,22
amc rebel sst (sw),8,360,175,3850,11,70,1,NA
>>>>>>> 6d9966e91dad4e6d053bdee3e6806ad84efd4400
